LastName,FirstName & MI,DOB,ID,GPA
Phillips, Ivor V.,1980-01-17,6284,3.3
Sheppard, Ferdinand H.,1984-06-04,6249,3.9
Hinton, Richard R.,1982-08-06,9990,2.1
Preston, Tamara J.,1976-11-18,9375,3.9
Mcgowan, Lane L.,1986-02-22,5484,2.2
Henry, Addison K.,1971-09-15,8800,3
Valencia, Sage K.,1973-06-01,2207,2.7
Morrison, Wylie C.,1984-10-08,4013,2.3
Knox, Maryam O.,1973-08-10,9424,2.6
Guerra, Neil Q.,1988-12-17,4977,2.1
Norris, Raven H.,1971-12-02,1133,2
Webster, Stacy W.,1972-04-18,1780,2.8
Ball, Eden W.,1973-09-08,2557,3.3
Pace, Maisie G.,1984-02-19,8200,3.5
Carney, Felix G.,1981-09-12,5621,2.5
Riley, Quon Q.,1988-08-08,1197,2.4
Day, Jameson O.,1977-08-15,7376,2.9
Gonzales, Heidi L.,1987-12-26,6688,3.7
Hale, Alexis A.,1981-06-01,3350,3.9
Lloyd, Joelle X.,1985-10-26,2757,2.7
Jimenez, Florence Z.,1972-06-26,4003,3.2
Rodgers, Lane W.,1971-03-31,7515,3.9
Giles, Guinevere M.,1976-12-30,2168,2
Deleon, Camilla Q.,1983-06-12,3253,3.8
Bullock, Cara I.,1970-10-18,2542,2.9
Rosa, James X.,1971-06-08,4974,3.1
Ross, Driscoll J.,1981-10-01,5692,3.1
Harrison, Judah F.,1985-06-11,8163,3.8
Ball, Ali G.,1975-06-02,6304,3.6
Clements, Ignatius N.,1974-09-06,1016,2.3
Hartman, Hoyt R.,1983-11-07,9384,2.8
Brock, Jocelyn N.,1970-03-01,6875,2.3
Bender, Rhonda J.,1984-04-06,6308,3.2
Underwood, Carla D.,1983-01-01,7542,3.8
Kinney, Florence J.,1978-10-22,3284,3.5
Frazier, Noelle K.,1984-06-08,4910,2.6
Tillman, Clinton P.,1973-10-28,7578,4
Frank, Andrew Q.,1988-02-16,6968,3.3
Barrett, Cody S.,1989-02-02,7092,3.1
Carson, Ivor A.,1988-01-17,8401,2.3
Mclaughlin, Elizabeth S.,1970-09-03,4060,3.5
Le, Herrod Z.,1979-05-12,6799,2
Bradford, Catherine R.,1984-03-07,9637,4
Olson, Bert D.,1987-06-15,4436,2.6
Bates, Catherine F.,1984-02-18,4610,3.9
Branch, Cadman X.,1987-03-23,9876,3
Guerrero, Sophia R.,1984-06-11,8711,3.3
Byrd, Hermione G.,1977-09-25,6990,2.1
Battle, Tyler X.,1976-04-04,2895,3.4
Lindsey, Vladimir C.,1970-12-23,4393,3.5
Avila, Adrienne A.,1972-09-07,7731,2.9
Vance, Sylvester Q.,1971-08-11,2794,3.9
Petty, Jerry C.,1979-08-16,8171,2.7
Randall, Heidi X.,1972-11-17,4817,3.7
Riddle, Sybil X.,1970-05-17,5206,3.9
Blankenship, Porter E.,1983-07-11,4900,2.9
Floyd, Gay B.,1971-12-04,7519,3
Ray, Shafira Y.,1970-03-31,3346,2.8
Lancaster, Yoshi T.,1980-05-21,1361,2.3
Rivas, Charlotte R.,1988-10-29,7115,4
Mcguire, Paloma E.,1987-02-25,3422,3.8
Mccormick, Tanner P.,1976-04-18,5852,4
Dawson, Acton G.,1970-09-29,8502,4
Massey, Nerea T.,1970-08-23,7817,3.5
Wilder, Damon G.,1978-06-11,1457,3.6
Hahn, Cheryl Y.,1971-11-10,4796,4
Sparks, Burton Q.,1983-03-02,3683,2.1
Gardner, Jael C.,1970-03-22,8268,3.2
Kennedy, Adam C.,1970-06-16,3638,4
Lynch, Lillith R.,1982-04-04,4678,3.9
Bauer, Vaughan B.,1984-09-04,6452,2.4
Neal, Renee L.,1979-05-26,5069,2.2
Yang, Lee U.,1978-06-23,3869,4
Rice, Gemma N.,1978-11-22,5822,3.7
Donovan, Dominique G.,1977-02-12,8282,3.3
Key, Doris K.,1973-11-12,8460,3.9
Nelson, Megan F.,1978-10-29,9500,2.4
Haley, Janna A.,1977-08-09,5681,3.1
Floyd, Jolie V.,1979-12-01,7205,3
Bradshaw, Keefe W.,1975-11-25,8354,2.4
Calderon, Ashton F.,1981-05-17,7366,3.7
Spencer, Daria E.,1970-08-19,3694,3.1
Rodriguez, Garth T.,1974-04-20,7174,3.1
Lowery, Shaine B.,1970-01-30,8697,3.8
Hooper, Tara Z.,1982-09-02,6244,2.5
Cobb, Zeus L.,1979-12-15,4493,2.4
Garcia, Keelie D.,1970-06-03,4311,3.9
Peck, Kaden I.,1974-07-26,2035,2.8
Harrell, Quamar Z.,1971-04-13,1591,3.1
Rose, Tanner Y.,1978-09-14,7867,3.1
Meyer, Iliana T.,1971-04-02,3035,3.3
Whitehead, Violet M.,1989-04-18,7328,3.5
Bush, Drew E.,1988-04-15,3356,2.4
Solis, Quintessa G.,1972-12-02,2049,3.2
Anderson, Aquila L.,1979-09-04,6551,2.7
Wolf, Nash Z.,1989-08-09,1602,2.2
Calderon, Hector H.,1974-07-14,7588,3.2
Downs, Addison I.,1971-11-22,9711,2.3
Conley, Ella N.,1985-09-20,3265,3
Bennett, Channing W.,1979-10-25,7718,3
Gonzalez, Bree O.,1971-10-06,5087,2.2
Newman, Brendan I.,1989-07-17,3721,2.4
Vaughn, Sarah C.,1980-02-04,8966,3.5
Bernard, Rudyard C.,1989-08-03,4800,3.8
Allen, Delilah Q.,1978-03-05,9697,3.4
Emerson, Maxwell N.,1973-01-03,1583,2.3
William, Uriel U.,1984-06-18,2640,3.1
Barr, Damian D.,1977-01-05,4876,2.2
Morrow, Abigail Z.,1980-02-03,1158,2.3
Suarez, Elijah N.,1985-02-07,7939,3.7
Carlson, Rina H.,1988-03-02,9060,3.1
Lloyd, Larissa R.,1972-09-09,1015,3.5
Holden, Arsenio V.,1982-08-08,8759,3.3
Johnston, Zorita T.,1975-04-28,7139,3.6
Mcfarland, Ila J.,1974-01-26,9083,2.3
Velasquez, Quyn B.,1985-02-03,8411,2.3
Stevenson, Germane X.,1970-09-06,1221,2.2
Travis, Dora D.,1978-03-01,9065,3.6
Alford, Joshua I.,1977-09-17,9671,2
Snow, Buckminster G.,1980-09-04,6885,2.9
Contreras, Chaney G.,1973-09-18,1073,2.1
Barnett, Blythe P.,1985-11-08,7698,2.9
Maxwell, Gretchen E.,1985-05-07,6248,3.6
Hatfield, Joan I.,1970-01-31,8515,2.4
Glenn, Steven M.,1973-03-04,1672,4
Franks, Basia F.,1984-12-27,1176,2.3
Sexton, Madaline V.,1972-01-13,4206,2.3
Fernandez, Shay F.,1984-02-02,8901,3.5
Preston, Russell W.,1972-04-23,4738,3.8
Santos, Lillith G.,1984-01-15,6803,2.4
Ayala, Iola V.,1985-01-08,2687,3.9
Head, Shelby W.,1983-03-23,9033,2.5
Glover, Omar H.,1983-11-10,5592,2.2
Harrell, Claire J.,1971-09-22,5070,2.9
Calhoun, Scarlet Y.,1977-02-11,2611,3.3
Nelson, Madison B.,1971-01-23,3112,3.7
Dickson, Colorado R.,1972-01-19,3446,2.8
Buckner, Kessie V.,1984-08-16,8138,2.2
Dean, Nigel X.,1975-09-03,7591,3.9
Nash, Bert L.,1983-01-08,9674,3.1
Mccullough, Martin C.,1985-03-09,9255,3.9
Gilliam, Athena K.,1980-01-15,4432,3.4
Saunders, Carly W.,1977-03-02,1479,3.8
Skinner, Basil O.,1979-02-26,2284,3.9
Navarro, Christian K.,1988-02-22,5100,2.4
Richards, Cailin P.,1979-01-05,1966,3.2
Madden, Aretha O.,1970-04-13,7647,3
Schneider, Colt E.,1980-10-12,8686,3.8
Harper, Alec E.,1982-06-26,2185,2.7
Castaneda, Barry D.,1975-12-07,1263,3.2
Stark, Serena T.,1973-06-05,9654,2
Larson, Lois A.,1973-01-15,6492,3.5
Daniels, Hedwig P.,1989-11-22,9580,3.7
Bowen, Ima H.,1984-02-05,6739,3.2
Cervantes, Jael O.,1987-01-09,9054,3.9
Dorsey, Ashton T.,1978-05-21,3670,3.1
Duke, Meredith G.,1976-07-29,7053,2.2
Pena, Lavinia H.,1988-07-28,9838,3.5
Good, Ivan M.,1972-09-22,8024,3.1
Robertson, Rina K.,1986-12-29,9303,2.1
Becker, Burton R.,1973-01-08,6415,2.8
Wolf, Dale I.,1974-02-01,3241,3.7
Wright, Stewart H.,1979-05-22,7015,2.7
Anthony, Dorothy B.,1987-11-03,3985,2.4
Conley, Larissa K.,1988-07-15,1181,3.9
Jensen, Clio I.,1981-10-21,5937,2.2
Hurst, Holly T.,1989-11-26,1378,2.9
Kramer, Driscoll Y.,1971-11-15,2154,2.1
Golden, Fleur J.,1975-07-09,2699,3.8
Powers, Marvin Z.,1986-02-25,6327,2.5
Woods, Ira Y.,1982-12-18,6389,2.3
Booth, Jayme U.,1971-08-29,1470,2.5
Rowe, Nehru Y.,1984-04-24,3162,2.4
Daniel, Athena X.,1987-06-24,4422,3.5
Barry, Dane Z.,1973-05-18,6914,3
Trujillo, Alisa I.,1970-12-05,9325,3
Moran, Lavinia A.,1989-06-12,8989,2
